"model_group","lineage","latitude","longitude","Use","name"
"Cnemidophorus_lemniscatus","Lineage_06","-0.346275","-64.747228","1","Cnemi_HT7487_ND4"
"Cnemidophorus_lemniscatus","Lineage_06","-0.346276","-64.747229","1","Cnemi_HT7488_ND4"
"Cnemidophorus_lemniscatus","Lineage_06","-0.48305555555556","-64.833055555556","1","Cnemi_HT7502_ND4"
"Cnemidophorus_lemniscatus","Lineage_06","-0.48305555555556","-64.833055555556","1","Cnemi_HT7503_ND4"
"Cnemidophorus_lemniscatus","Lineage_06","-0.48305555555556","-64.833055555556","1","Cnemi_HT7504_ND4"
"Cnemidophorus_lemniscatus","Lineage_06","-0.48305555555556","-64.833055555556","1","Cnemi_HT7505_ND4"
"Cnemidophorus_lemniscatus","Lineage_06","-0.48305555555556","-64.833055555556","1","Cnemi_HT7506_ND4"
"Cnemidophorus_lemniscatus","Lineage_06","-0.48305555555556","-64.833055555556","1","Cnemi_HT7507_ND4"
"Cnemidophorus_lemniscatus","Lineage_06","-0.48305555555556","-64.833055555556","1","Cnemi_HT7509_ND4"
"Cnemidophorus_lemniscatus","Lineage_06","-0.48305555555556","-64.833055555556","1","Cnemi_HT7510_ND4"
"Cnemidophorus_lemniscatus","Lineage_06","-0.37527777777778","-64.133055555556","1","Cnemi_HT7518_ND4"
"Cnemidophorus_lemniscatus","Lineage_06","-0.37527777777778","-64.133055555556","1","Cnemi_HT7519_ND4"
"Cnemidophorus_lemniscatus","Lineage_06","-0.37527777777778","-64.133055555556","1","Cnemi_HT7520_ND4"
"Cnemidophorus_lemniscatus","Lineage_06","-0.37527777777778","-64.133055555556","1","Cnemi_HT7521_ND4"
"Cnemidophorus_lemniscatus","Lineage_02","1.638088","-61.169193","1","Cnemi_HT916_ND4"
"Cnemidophorus_lemniscatus","Lineage_02","1.638088","-61.169193","1","Cnemi_HT999_ND4"
"Cnemidophorus_lemniscatus","Lineage_02","2.784701","-60.68699","1","Cnemi_LSUMZ12381_ND4"
"Cnemidophorus_lemniscatus","Lineage_02","2.784701","-60.68699","1","Cnemi_LSUMZ12382_ND4"
"Cnemidophorus_lemniscatus","Lineage_02","2.784701","-60.68699","1","Cnemi_LSUMZ12383_ND4"
"Cnemidophorus_lemniscatus","Lineage_07","2.784701","-60.68699","1","Cnemi_LSUMZ12384_ND4"
"Cnemidophorus_lemniscatus","Lineage_02","2.784701","-60.68699","1","Cnemi_LSUMZ12385_ND4"
"Cnemidophorus_lemniscatus","Lineage_02","2.784701","-60.68699","1","Cnemi_LSUMZ12386_ND4"
"Cnemidophorus_lemniscatus","Lineage_02","2.784701","-60.68699","1","Cnemi_LSUMZ12387_ND4"
"Cnemidophorus_lemniscatus","Lineage_07","2.730313","-60.759145","1","Cnemi_LSUMZ12392_ND4"
"Cnemidophorus_lemniscatus","Lineage_07","2.730313","-60.759145","1","Cnemi_LSUMZ12393_ND4"
"Cnemidophorus_lemniscatus","Lineage_07","2.730313","-60.759145","1","Cnemi_LSUMZ12394_ND4"
"Cnemidophorus_lemniscatus","Lineage_07","2.730313","-60.759145","1","Cnemi_LSUMZ12395_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.506783","-54.959233","1","Cnemi_LSUMZ13913_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.506783","-54.959233","1","Cnemi_LSUMZ13914_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.506783","-54.959233","1","Cnemi_LSUMZ13925_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.5033611111111","-54.955972222222","1","Cnemi_LSUMZ13934_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.5033611111111","-54.955972222222","1","Cnemi_LSUMZ13935_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.48775","-54.964638888889","1","Cnemi_LSUMZ13947_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.48775","-54.964638888889","1","Cnemi_LSUMZ13948_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.48775","-54.964638888889","1","Cnemi_LSUMZ13949_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.48775","-54.964638888889","1","Cnemi_LSUMZ13952_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.506783","-54.959233","1","Cnemi_LSUMZ14161_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.506783","-54.959233","1","Cnemi_LSUMZ14162_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-3.1506666666667","-54.842472222222","1","Cnemi_LSUMZ14187_ND4"
